EMP_NO,FIRST_NAME,MID_INIT,LAST_NAME,DEPT,PHONE_NO,HIRE_DATE,JOB_TITLE,EMP_LEVEL
000010,CHRISTINE,I,HAAS,A00,3978,1965-01-01,PRES,18
000020,MICHAEL,L,THOMPSON,B01,3476,1973-10-10,MANAGER,18
000030,SALLY,A,KWAN,C01,4738,1975-04-05,MANAGER,20
000050,JOHN,B,GEYER,E01,6789,1949-08-17,MANAGER,16
000060,IRVING,F,STERN,D11,6423,1973-09-14,MANAGER,16
000070,EVA,D,PULASKI,D21,7831,1980-09-30,MANAGER,16
000090,EILEEN,W,HENDERSON,E11,5498,1970-08-15,MANAGER,16
000100,THEODORE,Q,SPENSER,E21,0972,1980-06-19,MANAGER,14
000110,VINCENZO,G,LUCCHESSI,A00,3490,1958-05-16,SALESREP,19
000120,SEAN,,O'CONNELL,A00,2167,1963-12-05,CLERK,14
000130,DOLORES,M,QUINTANA,C01,4578,1971-07-28,ANALYST,16
000140,HEATHER,A,NICHOLLS,C01,1793,1976-12-15,ANALYST,18
000150,BRUCE,,ADAMSON,D11,4510,1972-02-12,DESIGNER,16
000160,ELIZABETH,R,PIANKA,D11,3782,1977-10-11,DESIGNER,17
000170,MASATOSHI,J,YOSHIMURA,D11,2890,1978-09-15,DESIGNER,16
000180,MARILYN,S,SCOUTTEN,D11,1682,1973-07-07,DESIGNER,17
000190,JAMES,H,WALKER,D11,2986,1974-07-26,DESIGNER,16
000200,DAVID,,BROWN,D11,4501,1966-03-03,DESIGNER,16
000210,WILLIAM,T,JONES,D11,0942,1979-04-11,DESIGNER,17
000220,JENNIFER,K,LUTZ,D11,0672,1968-08-29,DESIGNER,18
000230,JAMES,J,JEFFERSON,D21,2094,1966-11-21,CLERK,14
000240,SALVATORE,M,MARINO,D21,3780,1979-12-05,CLERK,17
000250,DANIEL,S,SMITH,D21,0961,1969-10-30,CLERK,15
000260,SYBIL,P,JOHNSON,D21,8953,1975-09-11,CLERK,16
000270,MARIA,L,PEREZ,D21,9001,1980-09-30,CLERK,15
000280,ETHEL,R,SCHNEIDER,E11,8997,1967-03-24,OPERATOR,17
000290,JOHN,R,PARKER,E11,4502,1980-05-30,OPERATOR,12
000300,PHILIP,X,SMITH,E11,2095,1972-06-19,OPERATOR,14
000310,MAUDE,F,SETRIGHT,E11,3332,1964-09-12,OPERATOR,12
000320,RAMLAL,V,MEHTA,E21,9990,1965-07-07,FILEREP,16
000330,WING,,LEE,E21,2103,1976-02-23,FILEREP,14
000340,JASON,R,GOUNOT,E21,5698,1947-05-05,FILEREP,16
200010,DIAN,J,HEMMINGER,A00,3978,1965-01-01,SALESREP,18
200120,GREG,,ORLANDO,A00,2167,1972-05-05,CLERK,14
200140,KIM,N,NATZ,C01,1793,1976-12-15,ANALYST,18
200170,KIYOSHI,,YAMAMOTO,D11,2890,1978-09-15,DESIGNER,16
200220,REBA,K,JOHN,D11,0672,1968-08-29,DESIGNER,18
200240,ROBERT,M,MONTEVERDE,D21,3780,1979-12-05,CLERK,17
200280,EILEEN,R,SCHWARTZ,E11,8997,1967-03-24,OPERATOR,17
200310,MICHELLE,F,SPRINGER,E11,3332,1964-09-12,OPERATOR,12
200330,HELENA,,WONG,E21,2103,1976-02-23,FIELDREP,14
200340,ROY,R,ALONZO,E21,5698,1947-05-05,FIELDREP,16
